Joint1_Type,Joint1_Axis,Joint2_Type,Joint2_Axis,Joint3_Type,Joint3_Axis,Joint4_Type,Joint4_Axis,Joint5_Type,Joint5_Axis,Joint6_Type,Joint6_Axis,Index
roll,z,pitch,y,pitch,x,pris,z,pitch,z,roll,z,343
roll,z,pitch,y,pitch,x,pris,y,pitch,z,roll,z,344
roll,z,pitch,y,pitch,x,pris,x,pitch,z,roll,z,345
roll,z,pitch,y,pitch,x,roll,y,pitch,y,pitch,x,346
roll,z,pitch,y,pitch,x,roll,y,pris,y,pitch,x,347
roll,z,pitch,y,pitch,x,roll,x,pitch,y,pitch,x,348
roll,z,pitch,y,pitch,x,roll,x,pris,y,pitch,x,349
roll,z,pitch,y,pitch,x,roll,z,pitch,y,pitch,x,350
roll,z,pitch,y,pitch,x,roll,z,pris,y,pitch,x,351
roll,z,pitch,y,pitch,x,roll,y,roll,y,pitch,y,352
roll,z,pitch,y,pitch,x,roll,y,pitch,y,pitch,y,353
roll,z,pitch,y,pitch,x,roll,y,pris,y,pitch,y,354
roll,z,pitch,y,pitch,x,roll,x,roll,y,pitch,y,355
roll,z,pitch,y,pitch,x,roll,x,pitch,y,pitch,y,356
roll,z,pitch,y,pitch,x,roll,x,pris,y,pitch,y,357
roll,z,pitch,y,pitch,x,roll,z,roll,y,pitch,y,358
roll,z,pitch,y,pitch,x,roll,z,pitch,y,pitch,y,359
roll,z,pitch,y,pitch,x,roll,z,pris,y,pitch,y,360
roll,z,pitch,y,pitch,x,roll,y,pitch,y,pitch,z,361
roll,z,pitch,y,pitch,x,roll,y,pris,y,pitch,z,362
roll,z,pitch,y,pitch,x,roll,x,pitch,y,pitch,z,363
roll,z,pitch,y,pitch,x,roll,x,pris,y,pitch,z,364
roll,z,pitch,y,pitch,x,roll,z,pitch,y,pitch,z,365
roll,z,pitch,y,pitch,x,roll,z,pris,y,pitch,z,366
roll,z,pitch,y,pitch,x,roll,y,pitch,y,pris,x,367
roll,z,pitch,y,pitch,x,roll,y,pris,y,pris,x,368
roll,z,pitch,y,pitch,x,roll,x,pitch,y,pris,x,369
roll,z,pitch,y,pitch,x,roll,x,pris,y,pris,x,370
roll,z,pitch,y,pitch,x,roll,z,pitch,y,pris,x,371
roll,z,pitch,y,pitch,x,roll,z,pris,y,pris,x,372
roll,z,pitch,y,pitch,x,roll,y,roll,y,pris,y,373
roll,z,pitch,y,pitch,x,roll,y,pitch,y,pris,y,374
roll,z,pitch,y,pitch,x,roll,y,pris,y,pris,y,375
